NAME;BARCODE;TAXGROUP;NAME1;NAME2
(не використовувати)Хліб в 0.8кг;;Б;Архів;ТМ
(не використовувати)Хліб в/с 0.650;;Б;Архів;ТМ
(не використовувати)Хліб о 0.650кг;;Б;Архів;ТМ
(не використовувати)Хуст.нос.Zewa Softis 10*10шт/4шт.нейтр.;;Б;07.Хімія;ТМ
(не використовувати)Хусточки гігієничні АХА абрикосові 10*10;;Б;Архів;ТМ Зева
(не використовувати)Хусточки гігієничні АХА жовті 10*10;;Б;Архів;ТМ Зева
(не використовувати)Хусточки гігієничні АХА зелені 10*10;;Б;Архів;ТМ Зева
(не використовувати)Хусточки гігієничні АХА рожеві 10*10;;Б;Архів;ТМ Зева
(не використовувати)Хусточки гігієничні АХА фіолетові 10*10;;Б;Архів;ТМ Зева
"(не використовувати)Шинка ""Елітна"" ваг./Гермес/";210089700000;Б;Архів;ТМ Гермес
(не використовувати)Шпікачки ЕКСТРА;210040000000;Б;Архів;ТМ
"(не використовувати)Яловичина ""Європейська""в/у  порц.нар./Зе";210078800000;Б;Архів;ТМ Зевс
"(не використовувати)Яловичина ""Делікатесна"" к/в /Зевс/";;А;Архів;ТМ Зевс
(не використовувати)бички обжарені ексклюзив в т/с 240г;;А;Архів;ТМ
(не використовувати)инка Закусочна куряча ваг. /М’ясовіта/;210022100000;Б;Архів;ТМ
(не використовувати)рустик з маком 5кг;210086800000;Б;01.Вагове;ТМ Рошен
(не замовляти) вареники економ 6 кг;;Б;01.Вагові;ТМ
(я) Зоопарк 25гр;8693029801257;Б;00.Цукерки;ТМ ХБФ
(я) Зоопарк 25гр (блок);8693029801240;Б;00.Цукерки;ТМ ХБФ
(я) Раллі 25гр (блок);8693029801288;Б;00.Цукерки;ТМ ХБФ
(я) Фенічки 25гр (блок);8693029801219;Б;00.Цукерки;ТМ ХБФ
"001 Самоскид ""Волошка""";4607006440012;Б;07.Дитячі іграшки;ТМ Фенсі
006 Скакалка;4607006440050;Б;07.Дитячі іграшки;ТМ Фенсі
"00701 Кубики "" Абетка в малюнках""";4607038270182;Б;07.Дитячі іграшки;ТМ Фенсі
"00703 Кубики ""Абетка з казками""";4607038270205;Б;07.Дитячі іграшки;ТМ Фенсі
"00704 Кубики ""Абетка""";4607038270175;Б;07.Дитячі іграшки;ТМ Фенсі
"00705 Кубики ""Математика з малюнками""";4607038270373;Б;07.Дитячі іграшки;ТМ Фенсі
